Income,Recency,NumWebVisitsMonth,Complain,age,total_purchases,enrollment_years,family_size
58138.0,58,7,0,64,25,10,1
46344.0,38,5,0,67,6,8,3
71613.0,26,4,0,56,21,9,2
26646.0,26,6,0,37,8,8,3
58293.0,94,5,0,40,19,8,3
62513.0,16,6,0,54,22,9,3
55635.0,34,6,0,50,21,10,2
33454.0,32,8,0,36,10,9,3
30351.0,19,9,0,47,6,9,3
5648.0,68,20,0,71,2,8,4
7500.0,59,8,0,45,6,10,2
63033.0,82,2,0,62,16,9,1
59354.0,53,6,0,69,15,9,3
17323.0,38,8,0,34,5,10,2
82800.0,23,3,0,75,26,10,1
41850.0,51,8,0,41,9,10,4
37760.0,20,7,0,75,13,10,2
76995.0,91,5,0,72,26,9,3
33812.0,86,6,0,36,8,10,2
37040.0,41,8,0,39,12,10,2
2447.0,42,1,0,42,43,9,3
58607.0,63,8,0,72,17,10,3
65324.0,0,4,0,67,20,8,3
40689.0,69,8,0,70,20,9,3
18589.0,89,7,0,52,8,9,1
53359.0,4,7,0,45,14,9,4
38360.0,26,3,0,32,9,9,3
84618.0,96,2,0,56,26,9,2
10979.0,34,5,0,32,8,8,1
38620.0,56,3,0,58,11,9,2
40548.0,31,5,0,51,9,10,3
46610.0,8,6,0,69,17,10,3
68657.0,4,7,0,75,18,9,2
49389.0,55,7,0,70,6,9,3
67353.0,37,2,0,51,28,9,3
23718.0,76,7,0,45,9,9,3
42429.0,99,5,0,48,7,8,2
48948.0,53,6,0,78,24,9,1
80011.0,3,4,0,41,21,9,3
20559.0,88,8,0,36,7,9,3
21994.0,4,5,0,64,4,10,3
7500.0,19,5,0,46,8,9,3
79941.0,72,1,0,45,16,8,1
7500.0,24,9,0,25,10,10,2
41728.0,92,10,0,53,5,9,3
72550.0,39,8,0,67,28,10,4
65486.0,29,2,0,64,17,8,2
79143.0,2,3,0,57,29,10,2
35790.0,54,7,0,44,7,9,2
82582.0,54,1,0,44,21,8,1
66373.0,57,3,0,43,23,9,4
82384.0,55,1,0,66,27,10,2
70287.0,30,3,0,55,21,9,1
27938.0,31,3,0,33,6,8,2
55954.0,63,7,0,53,19,8,3
75777.0,12,1,0,39,21,9,1
66653.0,18,3,0,46,22,10,4
61823.0,26,7,0,69,24,9,2
67680.0,8,5,0,70,19,9,2
70666.0,29,4,0,73,16,9,2
25721.0,75,7,0,50,5,9,3
32474.0,0,7,0,54,4,8,4
88194.0,19,5,0,42,32,8,2
69096.0,4,4,0,63,18,9,3
74854.0,90,5,0,51,19,9,5
66991.0,1,3,0,67,21,10,2
65031.0,29,7,0,62,30,9,3
60631.0,88,7,0,46,24,9,4
28332.0,58,2,0,69,8,8,2
40246.0,68,6,0,44,4,10,2
75251.0,34,5,0,49,19,10,2
75825.0,40,4,0,45,22,10,1
26326.0,12,3,1,45,4,9,2
56046.0,9,8,0,56,21,9,2
29760.0,87,8,0,36,12,10,2
26304.0,5,7,0,52,4,9,3
23559.0,87,7,0,48,9,9,3
38620.0,56,3,0,58,11,9,2
81361.0,18,1,0,34,27,8,1
29440.0,95,7,0,61,7,9,4
36138.0,48,7,0,51,13,9,4
50388.0,3,7,0,64,17,8,2
79593.0,70,2,0,48,19,8,2
54178.0,79,2,0,54,10,8,3
42394.0,69,7,0,49,5,8,2
23626.0,84,5,0,51,10,8,3
30096.0,30,6,0,38,6,8,3
47916.0,72,6,0,61,22,10,2
51813.0,37,7,0,49,7,9,3
78497.0,44,2,0,70,25,9,2
50150.0,32,5,0,38,16,9,2
47823.0,0,8,0,61,7,9,2
34554.0,43,6,0,62,7,8,2
85693.0,59,5,0,42,27,9,3
65846.0,68,4,0,76,16,9,2
87195.0,35,1,0,62,20,8,2
24594.0,94,5,0,42,5,9,3
49096.0,15,7,0,57,13,9,4
52413.0,56,6,0,52,26,9,4
38557.0,17,7,0,43,9,10,2
89058.0,18,2,0,61,14,10,2
77298.0,46,3,0,42,24,9,3
68126.0,40,9,0,30,17,10,1
57288.0,27,6,0,58,20,8,3
86037.0,95,3,0,30,25,9,1
43974.0,19,7,0,41,21,10,3
50785.0,27,6,0,59,8,9,3
90765.0,25,1,0,51,15,8,2
36550.0,74,9,0,43,20,9,3
30753.0,85,5,0,54,7,9,4
21918.0,37,6,0,52,7,9,3
56129.0,65,4,0,68,22,9,3
32557.0,13,5,0,54,9,8,2
19510.0,63,7,0,36,6,9,4
30992.0,83,7,0,45,5,9,2
101970.0,69,2,0,38,27,9,1
71488.0,87,1,0,56,16,9,2
79607.0,37,1,0,37,16,9,1
54348.0,51,6,0,68,8,8,4
77376.0,72,4,0,65,23,8,4
62998.0,10,5,0,69,19,9,3
61331.0,42,8,0,63,23,9,3
73448.0,10,4,0,52,19,8,2
41551.0,51,8,0,57,16,9,4
62981.0,21,3,0,54,23,9,2
9548.0,31,8,0,45,6,10,2
33762.0,61,8,0,62,9,9,5
35860.0,37,5,0,48,6,8,3
36921.0,74,7,0,56,7,9,3
92859.0,46,2,0,29,22,10,1
65104.0,4,7,0,45,17,9,3
86111.0,73,2,0,59,23,9,2
68352.0,47,6,0,47,25,9,2
41883.0,13,7,0,33,12,9,3
59809.0,36,8,0,45,15,10,4
23957.0,47,6,0,46,6,10,3
38547.0,49,8,1,40,4,9,3
35688.0,94,8,0,48,16,10,5
49605.0,65,3,0,55,8,8,2
59354.0,59,3,0,68,16,8,4
65747.0,96,6,0,52,19,8,3
46344.0,28,7,0,49,17,10,3
34176.0,12,6,0,33,11,8,2
61010.0,57,5,0,69,26,10,3
69372.0,10,4,0,72,21,9,2
49967.0,4,7,0,63,15,9,2
60199.0,49,4,0,43,4,9,4
55375.0,3,2,0,44,9,9,3
80317.0,64,1,0,66,18,9,1
30523.0,0,7,0,63,4,9,4
70356.0,20,6,0,76,27,10,2
23228.0,91,8,0,37,11,8,3
74165.0,9,2,0,46,20,9,1
157243.0,98,0,0,48,37,8,3
43482.0,83,6,0,55,9,9,5
62551.0,27,3,0,68,18,9,1
52332.0,63,4,0,62,12,9,1
66951.0,46,1,0,33,15,9,1
26091.0,84,5,0,64,9,8,4
33456.0,58,7,0,56,6,8,4
28718.0,78,8,0,39,7,9,3
50447.0,4,6,0,51,8,8,4
53537.0,17,5,0,62,8,8,4
52074.0,77,4,0,54,7,8,2
80427.0,56,5,0,46,28,10,3
83837.0,79,4,0,73,25,10,2
38853.0,90,7,0,51,7,8,4
38285.0,96,2,0,62,4,8,5
78497.0,44,2,0,70,25,9,2
51650.0,81,5,0,45,10,8,3
16248.0,77,6,0,33,9,8,3
66835.0,21,2,0,75,24,9,2
30477.0,16,6,0,37,6,8,3
28249.0,80,6,0,60,6,8,2
25271.0,45,9,0,38,5,10,3
32303.0,63,5,0,51,7,8,2
61286.0,34,5,0,55,18,9,3
74068.0,14,2,0,45,24,9,2
45759.0,13,7,0,57,7,9,4
24882.0,52,6,0,43,5,10,3
66973.0,98,3,0,32,28,9,2
38872.0,93,8,0,33,8,9,3
51148.0,38,6,0,48,16,9,4
31353.0,24,8,0,44,6,9,4
69661.0,80,3,0,41,23,8,2
80067.0,82,2,0,67,17,9,2
86718.0,20,2,0,67,17,9,2
46854.0,81,8,0,48,15,8,3
69142.0,50,5,0,69,19,8,2
75922.0,60,1,0,53,18,9,1
63693.0,63,6,0,43,29,9,2
102160.0,54,4,0,44,26,10,2
40637.0,72,7,0,56,6,9,3
18890.0,5,6,0,37,4,10,1
29604.0,88,9,0,33,5,9,3
48721.0,50,6,0,58,17,9,3
44794.0,99,6,0,55,6,8,3
64497.0,17,8,0,67,29,10,2
46097.0,11,4,0,65,15,9,3
77972.0,18,1,0,67,20,8,2
44377.0,70,8,0,53,19,10,4
46014.0,21,7,0,47,26,9,4
70951.0,66,1,0,36,17,9,2
41443.0,79,8,0,44,20,8,3
52195.0,2,8,0,43,4,8,4
83790.0,81,3,0,73,25,9,2
44551.0,24,7,0,67,12,9,2
69508.0,48,6,0,41,28,10,3
45204.0,93,3,0,33,7,8,3
72460.0,56,1,0,52,16,9,2
77622.0,3,3,0,51,22,8,4
30732.0,44,8,0,41,13,9,3
63887.0,38,6,0,59,32,10,2
42011.0,46,8,0,43,12,9,3
51369.0,84,8,0,45,16,10,3
51537.0,27,8,0,69,18,10,2
79930.0,72,2,0,49,17,10,2
34320.0,66,8,0,35,4,8,3
37070.0,30,7,0,55,23,9,3
81975.0,2,7,0,59,14,9,2
38590.0,65,8,0,50,4,9,3
15033.0,37,3,0,70,5,8,1
62745.0,89,5,0,56,29,9,3
22212.0,49,6,0,46,8,9,3
23661.0,46,7,0,39,5,9,3
79761.0,32,3,0,63,19,9,2
7500.0,54,7,0,48,11,9,2
73455.0,98,3,0,53,22,9,1
64961.0,97,3,0,63,16,10,3
22804.0,75,9,0,50,5,9,2
73687.0,8,2,0,31,22,9,2
61074.0,37,7,0,63,31,10,3
31686.0,31,6,0,57,6,8,4
80134.0,40,6,0,49,16,9,3
75027.0,74,5,0,68,21,9,3
67546.0,90,3,0,33,20,10,2
65176.0,57,6,0,52,25,10,3
31160.0,59,8,0,46,7,9,2
29938.0,52,6,0,36,6,9,2
102692.0,5,2,0,47,29,9,1
26490.0,92,6,0,63,11,10,2
75702.0,77,8,0,54,26,10,4
30899.0,35,6,0,47,6,10,2
63342.0,48,6,0,60,19,10,3
45989.0,97,3,0,57,16,10,2
18701.0,95,5,0,57,10,9,3
40737.0,24,8,0,64,4,9,4
15287.0,60,7,0,42,6,10,2
69674.0,46,5,0,53,25,9,3
44159.0,85,5,0,51,15,8,3
37717.0,31,9,0,43,4,10,3
43776.0,9,8,0,69,17,9,4
38179.0,30,7,0,55,11,9,4
80124.0,47,1,0,58,19,8,2
38097.0,70,7,0,51,11,10,4
72940.0,13,1,0,51,13,9,2
22070.0,11,6,0,51,8,9,3
69267.0,31,7,0,68,14,10,1
31788.0,15,5,1,38,10,8,2
61905.0,2,5,0,46,12,8,3
29315.0,55,6,0,61,10,8,4
33378.0,38,7,0,58,9,9,3
66313.0,86,4,0,58,23,9,3
60714.0,56,5,0,65,23,9,1
77882.0,29,1,0,40,12,8,2
69867.0,30,1,0,35,17,9,1
63841.0,64,6,0,53,22,9,2
24480.0,46,7,0,40,10,9,3
51369.0,84,8,0,45,16,10,3
37760.0,20,7,0,75,13,10,2
65640.0,74,2,0,47,15,8,3
44319.0,18,5,0,46,7,8,4
30631.0,75,7,0,47,7,9,3
75278.0,17,3,0,69,23,9,2
50898.0,88,5,0,65,33,9,4
79946.0,19,3,0,55,22,8,1
35416.0,62,8,0,72,16,9,1
32414.0,11,7,0,37,5,9,2
38361.0,74,7,0,52,10,9,3
82497.0,32,4,0,41,19,10,2
16626.0,76,9,0,50,9,8,4
29672.0,6,6,0,56,4,9,4
55951.0,62,8,0,69,23,10,3
35388.0,20,7,0,33,5,9,2
42386.0,43,8,0,35,7,9,3
68627.0,45,1,0,39,12,9,1
57912.0,34,5,0,56,28,8,2
35246.0,53,5,0,63,11,8,3
58821.0,44,6,0,65,21,9,3
46377.0,89,4,0,43,7,8,3
39747.0,43,8,0,33,13,8,2
23976.0,68,7,0,37,10,9,3
80950.0,44,2,0,60,23,9,2
27038.0,64,9,0,55,7,10,1
77457.0,85,1,0,74,18,8,1
64100.0,93,7,0,57,18,9,3
42670.0,12,4,0,29,11,9,2
12571.0,86,6,0,45,11,8,2
22574.0,28,7,0,54,7,9,5
70893.0,42,3,0,45,23,9,1
54198.0,13,4,0,55,16,9,4
28839.0,86,5,0,65,7,8,4
40321.0,59,7,0,49,8,9,4
66503.0,30,3,0,36,15,10,2
30833.0,33,5,0,70,6,9,4
64795.0,23,2,0,50,21,9,3
34421.0,81,7,0,47,4,9,3
47025.0,6,7,0,56,4,8,3
64325.0,41,7,0,60,23,9,2
40464.0,78,8,0,68,24,9,2
62187.0,49,3,0,64,18,9,2
14849.0,39,8,0,45,9,9,2
27255.0,3,7,0,37,5,9,3
54432.0,37,4,0,71,5,9,5
29999.0,22,8,0,35,12,9,2
24072.0,79,8,0,38,4,9,2
33996.0,46,4,0,32,6,9,1
66334.0,82,5,0,65,19,9,3
35178.0,10,7,0,50,5,9,3
22010.0,51,8,0,38,7,9,3
62204.0,38,3,0,61,22,10,3
75693.0,10,4,0,53,22,10,1
30675.0,14,8,0,49,5,10,3
83003.0,18,3,0,56,22,9,2
68655.0,95,3,0,33,21,10,1
41411.0,11,6,0,35,8,9,1
55212.0,65,8,0,52,20,10,3
59292.0,71,3,0,71,18,9,3
27190.0,13,8,0,48,4,9,3
82623.0,58,1,0,69,16,9,1
44300.0,65,6,0,56,6,9,4
84835.0,0,1,0,51,15,8,1
30372.0,33,7,0,50,8,10,3
33181.0,90,6,0,45,4,8,3
71113.0,95,4,0,64,26,9,3
71952.0,93,4,0,35,22,9,3
69759.0,38,3,0,55,18,9,1
72099.0,18,1,0,47,18,10,2
60000.0,57,6,0,45,24,10,2
38643.0,45,7,1,43,7,9,3
50737.0,61,6,0,66,7,9,3
68462.0,6,1,0,52,15,10,2
65073.0,65,2,1,78,14,9,2
46681.0,52,5,0,73,16,9,4
78618.0,87,2,0,64,22,10,2
62187.0,38,4,0,52,21,8,2
28442.0,53,4,0,43,10,8,4
37717.0,31,9,0,43,4,10,3
51479.0,67,7,0,54,22,10,4
54803.0,65,4,0,52,19,10,2
79530.0,64,2,0,61,26,9,2
31615.0,82,7,0,45,7,9,2
72025.0,27,3,0,59,16,10,2
52614.0,63,8,0,46,16,10,2
35684.0,66,6,0,37,5,8,3
48178.0,69,8,0,46,16,10,4
29548.0,52,4,0,51,5,9,2
63810.0,45,8,0,55,23,10,2
38578.0,2,8,0,49,9,9,3
46098.0,86,8,0,46,11,10,3
22585.0,23,9,0,51,5,9,1
30279.0,13,8,0,32,5,10,2
66426.0,14,6,0,60,20,9,3
30822.0,92,7,0,52,5,9,2
33581.0,38,8,0,52,4,9,4
19986.0,74,7,0,36,4,9,3
27421.0,14,7,0,67,14,10,1
35688.0,94,8,0,48,16,10,5
36143.0,33,3,0,40,4,8,2
10245.0,32,5,0,50,8,9,2
43795.0,11,7,0,53,17,9,3
63381.0,78,2,0,61,26,10,3
38823.0,56,6,0,72,7,10,3
83664.0,57,5,0,53,19,9,3
90300.0,7,1,0,42,19,8,2
62499.0,0,4,0,42,12,9,3
74293.0,66,2,0,28,16,8,1
51012.0,86,6,0,75,10,9,2
70777.0,80,3,0,53,23,8,3
68682.0,56,2,0,30,24,9,2
43824.0,18,8,0,50,12,10,4
15345.0,51,8,0,37,6,10,3
23442.0,71,7,0,34,5,10,2
14515.0,71,7,0,41,11,10,3
31395.0,80,6,0,65,10,9,3
75276.0,2,5,0,56,23,10,2
42373.0,83,5,0,47,13,9,3
30507.0,29,7,0,61,11,9,2
55521.0,11,7,0,66,24,9,4
48006.0,55,6,0,56,5,8,4
27213.0,19,8,0,49,9,10,2
65808.0,1,6,0,50,14,8,3
30351.0,19,9,0,47,6,9,3
50437.0,28,7,0,58,19,10,4
23616.0,76,8,0,39,8,10,2
53858.0,50,4,0,45,17,10,3
66465.0,1,6,0,66,35,9,3
46923.0,90,7,0,34,16,10,2
75072.0,83,3,0,59,19,9,3
75865.0,73,1,0,78,19,8,2
19789.0,24,5,0,46,9,9,3
80134.0,11,5,0,27,21,8,2
91065.0,33,3,0,40,26,9,1
49505.0,4,8,0,50,29,9,4
37401.0,14,7,0,48,7,8,3
30096.0,30,6,0,38,6,8,3
18492.0,75,8,0,39,4,8,3
82584.0,26,1,0,47,16,9,2
93027.0,77,2,0,80,22,9,2
48686.0,8,8,0,68,4,9,5
92910.0,42,1,0,35,27,8,2
75433.0,28,6,0,32,19,8,3
10404.0,52,5,0,32,7,8,3
61314.0,1,3,0,53,24,9,3
84865.0,1,4,0,60,16,9,1
42387.0,42,8,0,32,21,10,3
67309.0,76,7,0,54,39,9,4
75236.0,27,4,0,57,25,9,3
30015.0,28,5,0,51,7,8,2
50943.0,49,5,0,65,5,9,3
67272.0,12,5,0,55,23,9,2
51529.0,14,8,0,72,17,9,2
32011.0,89,7,0,50,10,9,3
7500.0,96,8,0,35,7,9,3
28691.0,56,8,0,32,5,9,3
56223.0,72,4,0,73,10,9,3
18100.0,14,5,0,75,4,9,2
30279.0,13,8,0,32,5,10,2
20130.0,99,8,0,47,5,8,2
23295.0,72,8,0,62,4,9,1
42618.0,92,8,0,49,11,9,2
81246.0,87,1,0,57,17,9,1
24027.0,7,8,0,45,7,9,3
55707.0,91,3,0,68,16,9,3
57959.0,71,3,0,66,27,9,2
56796.0,24,7,0,52,27,9,3
36230.0,17,5,0,50,7,9,2
70829.0,87,3,0,41,16,9,4
65991.0,21,7,0,45,27,10,3
38988.0,90,8,0,49,19,10,5
89572.0,44,4,0,55,24,10,1
42207.0,71,6,0,37,14,9,3
50300.0,52,2,0,69,13,8,3
66664.0,78,3,0,39,19,10,2
60597.0,2,7,0,57,16,8,3
70165.0,60,1,0,72,22,9,1
50520.0,25,6,0,63,9,8,2
80124.0,47,1,0,58,19,8,2
33183.0,46,7,0,46,9,8,3
66582.0,83,1,0,52,20,8,1
75261.0,17,2,0,66,17,9,2
31880.0,13,8,0,51,4,10,2
53790.0,86,6,0,70,20,8,4
49269.0,92,7,0,50,25,10,3
61456.0,47,4,0,46,33,9,3
37406.0,18,8,0,41,4,9,3
56937.0,81,6,0,40,30,10,3
38415.0,91,7,0,43,6,9,4
20518.0,58,5,0,33,5,8,2
62503.0,40,5,0,65,26,9,3
41644.0,67,3,0,49,6,8,3
55842.0,19,5,0,44,17,8,3
62010.0,93,5,0,49,19,10,3
41124.0,41,8,0,44,21,10,3
38961.0,60,7,0,48,6,9,3
37760.0,54,6,0,49,6,9,2
32233.0,26,9,0,47,12,10,2
43057.0,30,5,0,46,15,9,3
83151.0,93,3,0,61,19,10,2
78825.0,35,3,0,57,29,10,1
65104.0,4,7,0,45,17,9,3
60093.0,92,6,0,47,21,9,3
14045.0,24,7,0,52,5,8,3
28457.0,96,8,0,69,10,10,1
78952.0,11,6,0,63,21,10,3
46310.0,99,8,0,45,14,10,2
76005.0,72,6,0,66,22,9,2
58308.0,77,8,0,57,15,9,2
55614.0,85,7,0,77,20,9,1
59432.0,88,5,0,59,22,9,2
55563.0,22,3,0,43,6,8,2
78642.0,83,6,0,50,18,9,3
67911.0,63,3,0,72,27,8,3
65275.0,9,2,0,77,21,9,2
27203.0,92,8,0,71,6,10,4
48330.0,2,5,0,60,5,9,3
24279.0,6,8,0,31,9,10,2
64355.0,66,8,0,36,21,10,3
50943.0,49,5,0,65,5,9,3
53653.0,29,6,0,68,28,10,1
65665.0,77,3,0,45,24,9,3
81217.0,77,1,0,32,22,9,1
34935.0,71,7,0,29,8,9,2
61250.0,49,5,0,62,25,10,2
39665.0,97,7,0,40,12,9,3
60152.0,6,3,0,42,23,9,2
48920.0,93,7,0,57,16,9,4
89120.0,78,1,0,62,19,8,2
44124.0,62,8,0,75,17,9,3
81169.0,47,2,0,46,22,9,1
36443.0,9,8,0,60,11,9,4
26095.0,77,7,0,31,5,9,2
71367.0,24,2,0,62,17,9,2
80184.0,19,3,0,77,20,8,2
30630.0,67,7,0,56,7,8,3
73454.0,95,5,0,34,13,8,1
42691.0,48,5,0,30,13,9,2
70503.0,73,6,0,68,16,10,2
25545.0,35,6,0,34,10,10,3
32880.0,76,8,0,35,5,10,3
77863.0,20,2,0,63,20,9,2
50353.0,72,3,0,44,15,8,2
61839.0,20,8,0,57,17,10,1
49154.0,69,6,0,61,19,9,4
47682.0,80,5,0,46,19,9,2
72679.0,65,1,0,52,17,9,2
57954.0,52,7,0,44,23,8,4
65316.0,65,4,0,59,12,9,4
28567.0,57,6,0,39,7,9,2
47352.0,70,7,0,70,16,9,3
44931.0,0,5,0,54,7,8,3
76982.0,19,4,0,54,16,8,1
57247.0,50,2,0,69,12,9,3
22944.0,67,7,0,40,9,9,2
25315.0,46,8,0,44,9,9,3
43638.0,37,7,0,52,11,10,2
42710.0,38,6,0,37,14,10,2
84169.0,9,3,0,39,20,9,2
54058.0,56,3,0,45,20,9,3
24683.0,98,5,0,31,8,8,3
85620.0,68,1,0,57,14,8,1
47850.0,72,6,0,41,8,9,3
19514.0,47,8,0,53,10,8,4
27159.0,33,6,0,48,6,8,4
39548.0,87,3,0,58,7,8,3
21474.0,0,7,0,32,8,8,2
60504.0,73,6,0,50,18,8,2
22419.0,74,8,0,58,8,9,2
81698.0,4,1,0,72,25,9,2
43462.0,50,8,0,69,16,10,4
54880.0,57,5,0,43,21,9,2
79908.0,30,2,0,39,19,9,2
15315.0,27,5,0,51,8,9,2
87771.0,61,6,0,62,20,9,3
33039.0,4,5,0,43,7,9,3
81741.0,75,2,0,41,19,9,1
71499.0,12,4,0,50,26,9,3
62466.0,13,4,0,51,26,8,3
48799.0,9,3,0,58,15,9,2
52157.0,48,4,0,71,12,8,3
